center_region,pc1,pc2,uniqueRatio,averageWordLength,commaRate,questionRate
آناتولی، شام و عراق عرب,-0.008478809356548211,0.5999137661176804,-0.24221066728704466,-1.0521569698975402,-0.03184510267773797,0.8173629789718818
خراسان و افغانستان,0.08312937197246556,-0.3464614548926391,-0.0007786476351489423,-0.016976426816692276,-0.21432036713678448,0.10763302899553487
شبه‌قاره هند,-0.12561953900556053,0.047179500570919235,0.06605100331882208,0.31895517799261336,-0.23943634454828241,-0.23679474084592764
فارس، کرمان و جنوب ایران,-0.34031520274516575,-0.12740892915755606,0.34499215512670206,0.24227513776440188,-0.7019261134738134,-0.382219799223434
قفقاز و آذربایجان,0.24762367283689754,-0.40055236886500756,-0.18290925764607013,-0.4095052041753914,-0.3467445841731579,0.010682990077197295
ماوراءالنهر و آسیای مرکزی,-1.1764167149921487,-0.5118841211556295,1.5245487019051929,-0.150253639594297,0.8942198795752615,-0.382219799223434
مرکز، شمال و غرب ایران,0.011354993438737276,0.3764498709239576,-0.06683236143624534,0.16376938229266158,0.49283158510879493,-0.016221805412102105
