poet,poet_slug,source_poet_label,attributed_century,within_poet_rank,source_record_id,book_title,poem_title,hemistich_1,hemistich_2,symbolism_score,imagery_score,figurative_score,music_score,compression_score,emotion_score,structure_score,novelty_score,overall_score,within_poet_percentile
رودکی,rudaki,رودکی,3,1,108,رباعیات,رباعی شماره ۲۲,در منزل غم فگنده مفرش ماییم,وز آب دو چشم دل پر آتش ماییم,99.94,78.97,98.69,93.41,99.95,86.71,85.48,84.22,91.91,100
رودکی,rudaki,رودکی,3,2,378,قصاید و قطعات,شماره ۷۰,چون سپرم نه میان بزم به نوروز,درمه بهمن بتاز و جان عدو سوز,91.55,78.97,96.52,69.92,96.94,56.08,62.6,98.89,82.12,99.90118577075098
رودکی,rudaki,رودکی,3,3,852,ابیات به جا مانده از کلیله و دمنه و سندبادنامه,بخش ۱۲,هیچ تلخی نیست بر دل تلخ تر,از فراق دوستان پر هنر,93.58,92.94,79,53.4,93.3,96.67,27.15,60.56,78.21,99.70355731225297
رودکی,rudaki,رودکی,3,4,602,قصاید و قطعات,شماره ۱۲۰ - کاندر جهان به کس مگرو جز به فاطمی,تا خوی ابر گل رخ تو کرده شبنمی,شبنم شده‌ست سوخته چون اشک ماتمی,98.4,91.62,87.48,61.21,71.82,56.08,23.33,96.97,76.33,99.60474308300395
رودکی,rudaki,رودکی,3,5,563,قصاید و قطعات,شماره ۱۰۸,زمانی برق پر خنده، زمانی رعد پر ناله,چنان مادر ابر سوک عروس سیزده ساله,81.22,75.92,57.7,81.88,98.6,51.09,70.12,88.75,75.46,99.50592885375494
رودکی,rudaki,رودکی,3,6,78,رباعیات,رباعی شماره ۶,چشمم ز غمت، به هر عقیقی که بسفت,بر چهره هزار گل ز رازم بشکفت,81.22,94.71,57.7,59.63,93.81,80.12,39.39,84.74,75.11,99.40711462450594
رودکی,rudaki,رودکی,3,7,113,رباعیات,رباعی شماره ۲۴,آری، که چو آن ماه بود بازرگان,دیدار به دل فروشد و بوسه به جان,94.31,97.31,96.52,63.05,91.16,0,44.09,70.98,73.08,99.30830039525692
رودکی,rudaki,رودکی,3,8,564,قصاید و قطعات,شماره ۱۰۸,و گشته زین پرند سبز شاخ بید بنساله,چنان چون اشک مهجوران نشسته ژاله بر لاله,72.63,73.41,79,74.23,81.18,46.91,52.27,93.88,71.87,99.2094861660079
رودکی,rudaki,رودکی,3,9,100,رباعیات,رباعی شماره ۱۸,بر عشق توام، نه صبر پیداست، نه دل,بی روی توام، نه عقل بر جاست، نه دل,64.17,0,89.62,97.2,99.14,97.18,98.05,34.18,71.84,99.1106719367589
رودکی,rudaki,رودکی,3,10,578,قصاید و قطعات,شماره ۱۱۳,اگر می نیستی، یکسر همه دل ها خرابستی,اگر در کالبد جان را ندیدستی، شرابستی,94.31,24.59,79,85.67,96.54,18.41,81.73,97.42,71.6,99.01185770750988
فردوسی,ferdowsi,فردوسی,4,1,48864,پادشاهی خسرو پرویز,بخش ۷۶,ببردند پیلی به نزدیک اوی,پر از درد شد جان تاریک اوی,98.73,98.59,97.55,89.99,92.9,67.28,85.96,97.18,91.7,100
فردوسی,ferdowsi,فردوسی,4,2,22095,اندر ستایش سلطان محمود,اندر ستایش سلطان محمود,پر از درد شد جان افراسیاب,نکرد ایچ بر جنگ جستن شتاب,93.58,84.15,95.44,72.59,95.12,96.67,66.67,96.89,88.25,99.9979578500245
فردوسی,ferdowsi,فردوسی,4,3,18202,داستان دوازده رخ,داستان دوازده رخ,دگر هرچ از گنج نزدیک تست,همه دشمن جان تاریک تست,94.48,86.35,79,90.96,96.31,86.33,87.13,56.51,86.3,99.99591570004901
فردوسی,ferdowsi,فردوسی,4,4,37382,پادشاهی بهرام گور,بخش ۳۹,شب و روز گریان بد از مهر اوی,نهاده دو چشم اندران چهر اوی,93.88,78.97,86.67,89.92,87.11,86.71,86.94,71.26,86.19,99.99387355007352
فردوسی,ferdowsi,فردوسی,4,5,4860,پادشاهی نوذر,بخش ۵,دل نوذر از غم پر از درد بود,که تاجش ز اختر پر از گرد بود,98.51,73.41,85.38,91.85,90.25,85.46,93.58,59.29,86.14,99.99183140009802
فردوسی,ferdowsi,فردوسی,4,6,4823,پادشاهی نوذر,بخش ۴,پر از ناله کوس شد مغز میغ,پر از آب شنگرف شد جان تیغ,98.96,78.97,97.55,74.86,95.44,56.08,94.9,91.42,86.09,99.98978925012253
فردوسی,ferdowsi,فردوسی,4,7,46796,پادشاهی خسرو پرویز,بخش ۳۴,چو خورشید برچرخ بگشاد راز,سپهدار جنگی بزد طبل باز,81.22,87.42,92.66,74.69,95.31,98.14,55.57,93.88,85.46,99.98774710014703
فردوسی,ferdowsi,فردوسی,4,8,48305,پادشاهی خسرو پرویز,بخش ۶۸,پر از درد شد جان خندان اوی,وز ایوان او کرد زندان اوی,92.59,81.39,95.44,96.76,89.92,61.55,93.11,60.37,85.42,99.98570495017154
فردوسی,ferdowsi,فردوسی,4,9,30229,پادشاهی اسکندر,بخش ۶,که دانش نباشد به نزدیک اوی,پر از غم بود جان تاریک اوی,98.45,81.39,85.38,91.09,92.77,61.55,90.83,71.75,85.35,99.98366280019604
فردوسی,ferdowsi,فردوسی,4,10,3311,منوچهر,بخش ۴,که آیی به شادی سوی خان من,چو خورشید روشن کنی جان من,95.49,92.24,96.52,87.96,88.97,61.55,77.2,62.9,85.2,99.98162065022055
کسایی,kasaei,کسایی,4,1,50547,دیوان اشعار,به نوبهار ...,به نوبهار جهان تازه گشت و خرم گشت,درخت سبز علم گشت و خاک معلم گشت,69.49,73.41,57.7,91.97,93.96,46.91,95.67,19.75,69.88,100
کسایی,kasaei,کسایی,4,2,50563,دیوان اشعار,زلف معشوق,خم زلفش یکی دام است چون خورشید و مه گیرد,سر زلفش یکی شست است کو سیمین ذقن گیرد,91.42,68.43,85.38,90.19,75.56,0,98.1,25.01,69.53,99.67105263157895
کسایی,kasaei,کسایی,4,3,50772,ابیات پراکنده از فرهنگهای لغت,شماره ۴۲,سزد که پروین بارد دو چشم من شب و روز,کنون کزین دو شب من شعاع برزد پرو,82.01,69.44,83.29,37.26,86.1,33.24,70.29,90.52,68.55,99.3421052631579
کسایی,kasaei,کسایی,4,4,50504,دیوان اشعار,سوگنامه,گل باز کرده دیده باران برو چکیده,چون خوی فرو دویده بر عارض چو دیبا,91.82,90.72,97.93,31.3,78.88,0,47.84,96.88,68.36,99.01315789473685
کسایی,kasaei,کسایی,4,5,50629,دیوان اشعار,پنجاه سالگی شاعر,نهیب مرگ بلرزاندم همی شب و روز,چو کودکان بدآموز را نهیب دوال,83.87,24.59,99.28,44.03,99.78,33.24,78.31,89.57,68,98.68421052631578
کسایی,kasaei,کسایی,4,6,50553,دیوان اشعار,مرگ امیر,آن کس که بر امیر در مرگ باز کرد,بر خویشتن نگر نتواند فراز کرد,90.79,24.59,79,88.33,91.16,0,69.74,88.47,66.81,98.35526315789474
کسایی,kasaei,کسایی,4,7,50585,دیوان اشعار,دیده و اشک,دو دیده من و از دیده اشک دیده من,میان دیده و مژگان ستاره وار پدید,95.78,97.11,27.66,74.98,22.8,46.91,92.74,65.75,66.25,98.02631578947368
کسایی,kasaei,کسایی,4,8,50542,دیوان اشعار,موی سپید و روی سیاه ...,گفت : موی سپید و روی سیاه,همچو روز است در میانه شب !,85.77,84.15,99.47,32.64,86.56,33.24,61.34,11.95,65.95,97.69736842105263
کسایی,kasaei,کسایی,4,9,50684,دیوان اشعار,قطره باران,بر پیلگوش قطره باران نگاه کن,چون اشک چشم عاشق گریان همی شده,79,81.39,95.44,10.82,74.86,95.89,39.05,22.83,65.93,97.36842105263158
کسایی,kasaei,کسایی,4,10,50500,دیوان اشعار,سوگنامه,بر شاخ سرو بلبل با صد هزار غلغل,دراج باز بر گل چون عروه پیش عفرا,81.22,73.41,79,28.97,73.69,36.72,63.5,88.92,65.46,97.03947368421053
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,1,68812,رباعیات,رباعی شماره ۱۴۸,هرگز المی چو فرقت جانان نیست,دردی بتر از واقعه هجران نیست,77.57,84.15,92.66,93.65,96.15,92.69,92.14,89.96,89.06,100
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,2,69142,رباعیات,رباعی شماره ۳۱۳,ای خواجه ز فکر گور غم می‌باید,اندر دل و دیده سوز و نم می‌باید,94.31,97.31,79,97.02,94.07,51.09,88.3,84.71,86.5,99.93548387096774
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,3,68964,رباعیات,رباعی شماره ۲۲۴,از شبنم عشق خاک آدم گل شد,شوری برخاست فتنه‌ای حاصل شد,93.58,98.59,95.44,86.34,95.12,67.28,70.82,59.26,85.99,99.87096774193547
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,4,69622,رباعیات,رباعی شماره ۵۵۳,ای آنکه تراست عار از دیدن من,مهرت باشد بجای جان در تن من,91.55,78.97,79,87.02,89.34,56.08,81.46,97.75,82.56,99.80645161290323
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,5,69850,رباعیات,رباعی شماره ۶۶۷,جان چیست غم و درد و بلا را هدفی,دل چیست درون سینه سوزی و تفی,93.58,90.11,79,69.16,98.05,85.46,69.99,58.41,82.5,99.74193548387098
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,6,69758,رباعیات,رباعی شماره ۶۲۱,ای روی تو مهر عالم آرای همه,وصل تو شب و روز تمنای همه,95.35,24.59,97.29,91.55,99.78,92.76,92.94,60.62,82.43,99.67741935483872
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,7,69327,رباعیات,رباعی شماره ۴۰۵,اکنون که شدی عاشق و بدروز ای دل,تن درده و جان کن و جگر سوز ای دل,94.6,69.44,95.44,92.58,94.02,41.78,86.26,59.52,81.03,99.61290322580645
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,8,70826,ابیات پراکنده,تکه ۴۸,همه جمال تو بینم چو دیده باز کنم,همه تنم دل گردد که با تو راز کنم,78.61,70.78,92.66,91.75,94.12,87.56,99.18,6.73,80.15,99.54838709677419
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,9,69830,رباعیات,رباعی شماره ۶۵۷,ای دل بر دوست تحفه جز جان نبری,دردت چو دهند نام درمان نبری,82.25,78.97,92.66,94.08,98.1,56.08,84.63,33.92,79.99,99.48387096774194
ابوسعید ابوالخیر,abu-saeid-abul-kheir,ابوسعید ابوالخیر,5,10,68724,رباعیات,رباعی شماره ۱۰۴,از گل طبقی نهاده کین روی منست,وز شب گرهی فگنده کین موی منست,88.21,78.97,27.66,95.68,70.91,88.43,97.57,96.47,78.85,99.41935483870967
اسدی توسی,asadi-tusi,اسدی توسی,5,1,81162,گرشاسپ‌نامه,رفتن گرشاسب به نزد ضحاک,چو روی خور از بیم شب زرد شد,ز گردون سر روز پر گرد شد,98.98,75.92,99.97,87.68,99.82,85.93,75.63,37.96,86.09,100
اسدی توسی,asadi-tusi,اسدی توسی,5,2,80108,گرشاسپ‌نامه,در ستایش شاه بودلف گوید,به چوگان چو برداشت گوی زرنگ,ز بیمش بگردد رخ مه زرنگ,77.57,84.15,92.66,89.91,92.9,67.28,92.09,89.57,85.06,99.9859392575928
اسدی توسی,asadi-tusi,اسدی توسی,5,3,86460,گرشاسپ‌نامه,آمدن فغفور به جنگ نریمان,خون چو رو مهین هین گرفت,ز غم چهره شاه چین چین گرفت,83.34,81.39,92.66,94.67,94.43,95.89,90.68,26.77,84.86,99.9718785151856
اسدی توسی,asadi-tusi,اسدی توسی,5,4,86529,گرشاسپ‌نامه,نامه گرشاسب به نزد فریدون,گره شد ز غم بر رخ شاه چین,ز کاهش چو افتاد بر ماه چین (),90.79,90.72,99.38,90.72,92.29,51.09,89.24,57.67,84.62,99.9578177727784
اسدی توسی,asadi-tusi,اسدی توسی,5,5,83309,گرشاسپ‌نامه,رفتن گرشاسب به درگاه شاه روم و کمان کشیدن,بر شاه ایرانم امید هست,چراغم چه باید، چو خورشید هست,84.97,86.35,92.66,89.39,86.18,86.33,72.22,65.06,84.55,99.9437570303712
اسدی توسی,asadi-tusi,اسدی توسی,5,6,80276,گرشاسپ‌نامه,آغاز داستان,خرامید از آن سایه سرو و بید,سوی باغ شد دل به بیم و امید,94.31,75.92,95.44,71.4,91.16,94.59,49.68,85.33,84.05,99.929696287964
اسدی توسی,asadi-tusi,اسدی توسی,5,7,81193,گرشاسپ‌نامه,نامه فرستادن گرشاسب به نزد بهو,ز خورشید مر روز را مایه کرد,شب قیرگون خاک را سایه کرد,99.45,92.24,89.44,91.15,85.52,33.24,75.74,84.81,83.19,99.9156355455568
اسدی توسی,asadi-tusi,اسدی توسی,5,8,85155,گرشاسپ‌نامه,پادشاهی فریدون و نامه فرستادن گرشاسب,چو در برج شاهین شد از خوشه مهر,نشست او به شاهی سر ماه مهر,94.8,75.92,97.55,89.57,49.26,87.06,89.29,71.9,83.14,99.9015748031496
اسدی توسی,asadi-tusi,اسدی توسی,5,9,81360,گرشاسپ‌نامه,جنگ دوم گرشاسب با سالاران بهو,جهان آینه جوش جوشن گرفت,زمین گونه روی روشن گرفت,99.3,94.71,85.38,96.95,93.17,0,94.05,88.58,82.45,99.8875140607424
اسدی توسی,asadi-tusi,اسدی توسی,5,10,81694,گرشاسپ‌نامه,دیدن گرشاسب برهمن را,وز اندوه آدم از ایدر به درد,شب و روز گرینده و روی زرد,79.96,97.79,83.29,69.19,85.48,92.59,56.54,86,82.2,99.87345331833521
باباطاهر,baba-taher,باباطاهر,5,1,70494,دوبیتی‌ها,دوبیتی شماره ۲۵۶,بدنیا مثل مو دل سوته‌ای نه,بدرد سوز غم اندوته‌ای نه,79.62,86.35,92.66,95.49,94.57,72.64,74.66,93.88,86.31,100
باباطاهر,baba-taher,باباطاهر,5,2,70551,دوبیتی‌ها,دوبیتی شماره ۲۸۴,شو و روز از فراقت ناله مو,چو آه سوته جانان پر شرر بی,98.2,78.97,97.93,32.1,96.94,92.86,61.34,96.52,82.34,99.86859395532196
باباطاهر,baba-taher,باباطاهر,5,3,70664,دوبیتی‌ها,دوبیتی شماره ۳۴۱,دل بی عشق را افسردن اولی,هر که دردی نداره مردن اولی,77.57,84.15,57.7,97.28,89.18,96.67,93.64,60.35,82.06,99.73718791064388
باباطاهر,baba-taher,باباطاهر,5,4,70281,دوبیتی‌ها,دوبیتی شماره ۱۴۹,مو آن دلداده بی خانمانم,مو آن محنت نصیب سخت جانم,79.62,86.35,57.7,83.35,89.77,86.33,95.13,89.15,82.04,99.60578186596584
باباطاهر,baba-taher,باباطاهر,5,5,70668,دوبیتی‌ها,دوبیتی شماره ۳۴۳,دل ار عشقت نداره مرده اولی,روان بی درد عشق افسرده اولی,77.57,84.15,57.7,98.07,97.69,99.16,97.38,20.74,80.62,99.47437582128778
باباطاهر,baba-taher,باباطاهر,5,6,70357,دوبیتی‌ها,دوبیتی شماره ۱۸۷,الهی سوز عشقت بیشتر کن,دل ریشم ز دردت ریشتر کن,79.62,93.62,57.7,94.53,92.34,97.38,93.03,10.47,79.8,99.34296977660972
باباطاهر,baba-taher,باباطاهر,5,7,70413,دوبیتی‌ها,دوبیتی شماره ۲۱۵,صدای چاوشان مردن آیو,بگوش آوازه جان کندن آیو,95.96,88.72,79,91.12,93.6,0,87.51,97.81,79.57,99.14586070959264
باباطاهر,baba-taher,باباطاهر,5,8,70253,دوبیتی‌ها,دوبیتی شماره ۱۳۵,ز وصلت تا بکی فرد آیم و شم,جگر پر سوز و پر درد آیم و شم,78.61,89.56,57.7,99.03,91.21,43.79,97.32,86.91,79.57,99.14586070959264
باباطاهر,baba-taher,باباطاهر,5,9,70596,دوبیتی‌ها,دوبیتی شماره ۳۰۷,دلم از سوز عشق آتش بجان بی,بکامم زهر از آن شکر دهان بی,82.25,99.35,57.7,87.9,94.29,56.08,81.41,62.84,78.68,98.94875164257556
باباطاهر,baba-taher,باباطاهر,5,10,70680,دوبیتی‌ها,دوبیتی شماره ۳۴۹,دلی چون مو بغم اندوته ای نی,زری چون جان مو در بوته‌ای نی,73.34,91.62,99.08,90.69,93.22,0,97.69,87.74,78.62,98.8173455978975
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,1,78014,ویس و رامین,رسیدن رامین به مرو نزد ویس,ز روزن روى رامین دید چون مهر,شکفته شد به جانش در گل مهر,98.96,78.97,99.68,88.35,92.54,88.43,92.98,97.59,92.15,100
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,2,72310,ویس و رامین,آگاهى یافتن ویرو از بردن شاه ویس را,گهى ارید چشمش بر گل زرد,گهى نالید جانش از غم و درد,95.49,99.81,79,74.42,95.86,89.7,89.93,84.26,88.84,99.9887285843102
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,3,76115,ویس و رامین,پاسخ دادن ویس موبد را,نه من گفتم که گونه زرد خواهم,همیشه جان و دل پر درد خواهم,95.03,97.79,95.44,95.72,96.1,82.3,93,15.02,87.61,99.97745716862038
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,4,77092,ویس و رامین,نامهء چهارم خشنودى نمودن از فراق و امید بستن بر وصل,چو دى ماه فراق ما سر آید,بهار وصلت و شادى در آید,83.87,81.39,99.28,88.89,99.78,87.44,90.24,60.18,87.34,99.96618575293057
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,5,76776,ویس و رامین,بیمار شدن ویس از فراق رامین,همه بستر ز جانش پر غم و درد,همه بالین ز رویش پر گل زرد,99.3,99.16,85.38,77.94,95.93,92.79,97.33,26.21,87.15,99.95491433724075
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,6,74916,ویس و رامین,زارى کردن ویس از رفتن رامین,چو چشمم راز غم بى خواب کردى,کنارم را پر از خوناب کردى,75.81,81.39,92.66,93.49,96.38,95.89,89.21,61.14,86.2,99.94364292155095
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,7,73127,ویس و رامین,اندر باز آمدن دایه به نزدیک رامین به باغ,بدو گفت اى مرا چون چشم روشن,به مهر اندر بپوش از صبر جوشن,82.25,91.62,98.83,74.03,91.83,95.24,62.31,84.07,85.99,99.93237150586114
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,8,78162,ویس و رامین,پاسخ دادن ویس رامین را,نه باد ارم همه سال از دم سرد,نه ابر آرم ز دود جان پر درد,97.56,90.11,85.38,69.28,98.87,79.22,84.77,71.37,85.69,99.92110009017132
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,9,75168,ویس و رامین,آمدن رامین به دز اشکفت دیوان پیش ویس,نه چشمش دید جان افزاى رویش,نه مغزش یافت مهر انگیز بویش,97.56,98.59,79,77.62,95.12,67.28,84.74,71.1,85.25,99.90982867448152
فخرالدین اسعد گرگانی,fakhr-al-din-asad-gorgani,فخرالدین اسعد گرگانی,5,10,72945,ویس و رامین,فریفتان دایه ویس را به جهت رامین,تن من دردها را راه گشست,تو گویى جانم آتشگاه گشست,94.48,86.35,79,94.55,88.68,72.64,90.13,60.71,84.82,99.89855725879171
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,1,65158,قصاید,قصیده شماره ۱۸ - در ذکر وفات سلطان محمود و رثاء آن پادشاه,خیز شاها! که جهان پر شغب و شور شده‌ست,شور بنشان و شب و روز به شادی بگذار,81.97,88.72,94.87,61.93,99.9,82.84,76.61,84.19,83.92,100
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,2,67215,ترجیعات,در مدح امیر ابو یعقوب یوسف بن ناصرالدین,به گوش آواز هر مرغی لطیف وطبعساز آید,به دست می ز شادی هر زمان ما را جواز آید,87.79,98.33,79,90.01,88.81,40.66,96.26,85.05,83.27,99.96589358799454
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,3,66667,قصاید,قصیده شماره ۵۶ - در مدح خواجه ابوالحسن حجاج علی بن فضل بن احمد,باغ امیدت پر گل و لاله باد,چون باغ فضلت پر گل و نسترن,95.96,91.62,92.66,72,95.36,56.08,97.17,16.52,80.42,99.93178717598909
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,4,66950,قصاید,قصیده شماره ۶۵ - در مدح خواجه ابو الحسن علی بن فضل بن احمد معروف به حجاج,به جان تو که نیارم تمام کرد نگاه,ز بیم چشم رسیدن بدان دو چشم سیاه,95.59,94.13,79,77.11,87.82,46.91,72.84,61.76,79.18,99.89768076398363
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,5,67235,ترجیعات,در مدح امیر ابو یعقوب یوسف بن ناصرالدین,مرا باری همه مهر از می بیجاده رنگ آمد,زمرد را روان خواهم چو از روی پرنگ آمد,85.38,69.44,85.38,93.29,45.8,75.28,91.87,89.34,79.13,99.86357435197817
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,6,65770,قصاید,قصیده شماره ۳۲ - در صفت داغگاه امیر ابوالمظفر فخرالدوله احمدبن‌محمدوالی‌چغانیان,تا نگردد باد خاک و ماه مهر و روز شب,تا نگردد سنگ موم و سیم زر و لاله خار,99.6,68.07,94.66,43.51,85.33,80.54,91.71,61.36,78.95,99.82946793997272
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,7,66496,قصاید,قصیده شماره ۵۱ - در مدح امیر ابو یعقوب یوسف بن ناصرالدین,زین عید عدو را غم و اندوه و ترا لهو,تو با رخ پر لاله و او با رخ پر چین,93.17,87.03,79,49.93,81.76,75.11,72.68,86.72,78.58,99.79536152796726
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,8,66250,قصاید,قصیده شماره ۴۵ - در مدح یمین الدوله ابوالقاسم محمود بن ناصرالدین,امیر اگر ز بر کشته سایه برفکند,ز فر سایه او کشته باز یابد جان,99.77,90.72,87.48,55.86,93.61,0,91.56,97.38,77.08,99.7612551159618
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,9,64764,قصاید,قصیده شماره ۱۱ - در دعای به سلطان محمود غزنوی,وانکس که هزیمت شد ازین خسرو و جان برد,چون از غم جان رسته شد، اندر غم نان باد,94.22,24.59,96.52,63.44,89.62,79.65,78.76,71.36,75.12,99.65893587994543
فرخی سیستانی,farrokhi-sistani,فرخی سیستانی,5,10,65301,قصاید,قصیده شماره ۲۱ - در وصف بهار و مدح ابو احمد محمد بن محمود بن سبکتکین,ارغوان بینی چو دست نیکوان پر دستبند,شاخ گل بینی چو گوش نیکوان پر گوشوار,91.82,97.31,97.93,60.68,79.73,0,92.51,70.68,74.98,99.62482946793997
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,1,68085,قصاید,قصیده شماره ۲۳ - شبی سیاه‌تر از روی ورای اهریمن,به ناز گفت که از دیده بیش اشک مریز,به مهر گفتم کز زلف بیش مشک مکن,89.81,96.55,83.88,55.7,57.16,93.61,96.25,36.5,77.94,99.95898277276456
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,2,67791,قصاید,قصیده شماره ۱۷ - درد و تیمار دختر و پسرم,از غم و درد چون گل و نرگس,روز و شب با سرشک و با سهرم,85.16,96.91,99.28,37.45,99.64,92,61.34,24.96,77.94,99.95898277276456
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,3,67958,قصاید,قصیده شماره ۲۱ - تا مرگ مگر که وقف زندانم,گه انده جان به باس بگسارم,گه آتش دل به اشک بنشانم,99.39,24.59,85.38,67.61,96.15,67.28,93.77,96.45,77.58,99.83593109105826
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,4,67559,قصاید,قصیده شماره ۱۰ - مرا بدانند آن‌ها که شعر می‌دانند,ز آب دیده گریان چو تیغم آب دهند,از آتش دل سوزان مرا بتفسانند,98.37,97.79,98.18,72.38,85.73,33.24,45.58,26.18,75.29,99.75389663658737
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,5,68105,قصاید,قصیده شماره ۲۳ - شبی سیاه‌تر از روی ورای اهریمن,همیشه تا دمد از روی ماه تابش مهر,همیشه تا دمد از کنج باغ بوی سمن,94.16,96.91,27.66,56.72,56.82,88.03,98.16,91.05,74.85,99.67186218211648
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,6,67419,قصاید,قصیده شماره ۴ - قطعهی گفته‌ام که دیوانیست,همچو لاله ز خون دل روییست,چون بنفشه ز زخم کف رانیست,85.38,84.15,96.52,77.29,63.25,67.28,66.67,13.64,73.57,99.58982772764561
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,7,67294,قصاید,قصیده شماره ۱,شد دیده تیره و نخورم غم ز بهر آنک,روزم همه شب است و صباحم همه مسا,82.04,70.78,98.91,38.08,99.82,92.25,68.44,13.4,73.45,99.50779327317474
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,8,67794,قصاید,قصیده شماره ۱۷ - درد و تیمار دختر و پسرم,گشت لاله ز خون دیده رخم,شد بنفشه ز زخم دست برم,90.79,98.59,74.12,49.96,63.25,67.28,59.45,57.24,72.51,99.34372436423298
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,9,68385,قطعات,شماره ۵ - بر تو سید حسن دلم گرید,آب مهر ترا خلاب نبود,آتش خشم تو شرار نداشت,96.21,24.59,86.67,35.27,85.2,99.27,58.93,96.99,72.44,99.2616899097621
مسعود سعد سلمان,masud-sad-salman,مسعود سعد سلمان,5,10,67967,قصاید,قصیده شماره ۲۱ - تا مرگ مگر که وقف زندانم,زی درگه تو همی رود بختم,در سایه تو همی خزد جانم,98.73,84.15,85.38,47.31,88.37,0,66.67,99.58,72.03,99.17965545529123
منوچهری,manuchehri,منوچهری,5,1,64333,رباعیات,رباعی شماره ۳,تاریک شد از مهر دل افروزم روز,شد تیره شب، از آه جگر سوزم روز,96.94,97.31,86.86,92.69,72.83,94.59,88.33,96.43,91.08,100
منوچهری,manuchehri,منوچهری,5,2,61899,قصاید و قطعات,شماره ۲۱ - در مدح خواجه احمد وزیر سلطان مسعود غزنوی,نور رایش تیره شب را روز نورانی کند,دود خشمش روز روشن را شب یلدا کند,96.41,73.41,86.67,89.15,87.39,84.19,96.57,65.11,85.77,99.96420901932713
منوچهری,manuchehri,منوچهری,5,3,64114,مسمطات,در مدح سلطان مسعود غزنوی,همچو خورشید کجا لشکر سایه شکند,لشکر دشمن به زین شکند شاهنشاه,94.8,92.94,85.38,61.12,75.54,67.28,90.11,85.05,81.74,99.92841803865426
منوچهری,manuchehri,منوچهری,5,4,64228,مسمطات,در تهنیت جشن مهرگان و مدح سلطان مسعود غزنوی,زان خجسته سفر این جشن چو باز آمد,سخت خوب آمد و بسیار بساز آمد,61,75.92,79,91.82,69.01,88.96,90.41,84.13,78.44,99.89262705798139
منوچهری,manuchehri,منوچهری,5,5,61570,قصاید و قطعات,شماره ۲,همه کهسار پر زلفین معشوقان و پر دیده,همه زلفین ز سنبلها، همه دیده ز عبهرها,94.16,90.11,27.66,75.77,49.5,91.88,99.69,91.06,76.27,99.85683607730851
